1481760000,Web,841547,2,KEY7250,642
1481587200,Ios,794985,2,KEY8741,568
1481587200,Apple TV,363798,3,KEY3517,371
1481673600,Ios,764078,3,KEY2175,731
1481673600,Android,933797,3,KEY7333,580
1481673600,Ios,851458,3,KEY9710,265
1481846400,Apple TV,493852,1,KEY5723,674
1481673600,Web,218615,1,KEY415,883
1481673600,Apple TV,282169,2,KEY9782,686
1481673600,Android,561101,3,KEY9881,955
1481846400,Web,330088,3,KEY1410,7
1481846400,Apple TV,226771,1,KEY4406,803
1481673600,Web,881720,1,KEY5995,6
1481673600,Ios,810308,2,KEY3353,69
1481760000,Ios,373419,1,KEY4782,252
1481760000,Web,679930,2,KEY9016,146
1481673600,Apple TV,911787,1,KEY8376,832
1481846400,Ios,782382,1,KEY8526,163
1481760000,Web,771598,2,KEY8308,922
1481673600,Web,990212,1,KEY7733,749
1481846400,Web,982897,2,KEY2592,609
1481846400,Android,998548,1,KEY8559,541
1481760000,Apple TV,983669,1,KEY7814,154
1481673600,Web,336674,3,KEY104,663
1481760000,Ios,106651,3,KEY2567,503
1481673600,Android,530748,1,KEY3415,8
1481760000,Ios,727816,3,KEY6236,66
1481587200,Web,162549,2,KEY3433,523
1481673600,Android,358297,3,KEY1340,791
1481673600,Android,840404,1,KEY3232,563
1481760000,Apple TV,425267,3,KEY3720,234
1481673600,Android,732898,3,KEY9798,574
1481587200,Apple TV,403703,3,KEY114,183
1481846400,Android,822694,1,KEY8356,155
1481846400,Web,108670,3,KEY125,333
1481587200,Ios,884869,1,KEY4061,120
1481673600,Web,934006,2,KEY7757,57
1481760000,Apple TV,751668,1,KEY6152,636
1481587200,Ios,122768,1,KEY4965,186
1481846400,Android,600559,3,KEY2015,515
1481846400,Web,160396,3,KEY5906,983
1481587200,Android,466732,1,KEY2677,649
1481760000,Ios,696875,3,KEY1467,456
1481846400,Ios,979316,3,KEY1038,809
1481760000,Android,281767,3,KEY3884,648
1481846400,Web,956887,2,KEY1548,247
1481587200,Apple TV,197435,2,KEY8543,959
1481587200,Ios,482661,1,KEY7928,487
1481760000,Apple TV,518028,2,KEY6718,776
1481673600,Android,798340,2,KEY1768,97
1481846400,Apple TV,651654,3,KEY2400,988
1481846400,Ios,806701,3,KEY454,886
1481673600,Android,285622,2,KEY8804,71
1481846400,Apple TV,712296,3,KEY7119,578
1481846400,Ios,608134,3,KEY7500,821
1481673600,Ios,224763,3,KEY2537,902
1481760000,Android,353139,2,KEY3409,449
1481587200,Apple TV,274339,2,KEY148,67
1481760000,Web,931861,3,KEY2981,149
1481846400,Apple TV,791786,2,KEY6460,675
1481846400,Android,370700,2,KEY5893,51
1481587200,Apple TV,392407,1,KEY7863,364
1481846400,Apple TV,390535,1,KEY3405,730
1481587200,Web,286752,2,KEY6289,836
1481846400,Apple TV,761734,1,KEY9074,133
1481587200,Web,742590,2,KEY1122,997
1481673600,Ios,872579,3,KEY7808,510
1481846400,Ios,351509,2,KEY6399,71
1481673600,Ios,229200,1,KEY202,339
1481673600,Web,592888,3,KEY8084,455
1481587200,Android,513338,2,KEY9968,129
1481760000,Apple TV,820346,1,KEY9164,158
1481587200,Android,798896,3,KEY5479,344
1481760000,Web,384401,1,KEY2735,68
1481846400,Ios,493193,1,KEY5200,584
1481673600,Apple TV,302467,3,KEY5779,700
1481673600,Ios,646114,2,KEY5565,553
1481673600,Web,543136,2,KEY4135,298
1481673600,Web,584702,3,KEY2419,114
1481587200,Ios,110837,1,KEY6304,952
1481587200,Web,500252,1,KEY6168,501
1481846400,Android,865899,2,KEY7616,202
1481673600,Web,918790,1,KEY6273,380
1481673600,Web,976606,1,KEY7271,230
1481846400,Web,504179,3,KEY2688,400
1481846400,Android,238178,1,KEY2331,123
1481846400,Ios,425787,3,KEY2112,932
1481760000,Web,207075,1,KEY1272,314
1481846400,Web,585247,1,KEY6798,714
1481846400,Android,615499,1,KEY5835,335
1481587200,Android,759261,2,KEY9129,738
1481673600,Apple TV,259807,3,KEY4040,305
1481673600,Android,889977,1,KEY4795,23
1481846400,Web,923501,1,KEY4090,200
1481587200,Android,336117,3,KEY1504,496
1481587200,Ios,108790,1,KEY2856,66
1481760000,Android,201915,1,KEY3288,368
1481587200,Android,344575,2,KEY9918,223
1481846400,Apple TV,851326,2,KEY2499,294
1481846400,Apple TV,883440,2,KEY3627,982
1481846400,Android,347701,2,KEY4278,167
